task,agreements,categories,answers,coverage_pct
Absence of Litigation Closing Condition,11,Conditions to Closing,"Governmental litigation only,Non-Governmental & governmental litigation,Pending,Pending or threatened (without ""writing"" requirement)",7.2368421052631575
Accuracy of Target R&W Closing Condition,152,Conditions to Closing,"Accurate in all material respects,Accurate in all respects,All/The R&Ws accurate at MAE standard,At Signing & At Closing,Capitalization-Other, Authority, Approval, Enforceability, Organization, Brokers' Fee, Opinion of Financial Advisor, Other,Capitalization-Other, Authority, Approval, Enforceability, Organization, No MAE, Brokers' Fee,Capitalization-Other, Authority, Approval, Enforceability, Organization, Subsidiaries, Brokers' Fee, No-Conflict,Capitalization-Other, Authority, Approval, Enforceability, Organization, Subsidiaries, No MAE,Capitalization-Other, Authority, Approval, Enforceability, Organization, Subsidiaries, No MAE, Brokers' Fee, Takeover Statutes, Rights Agreement, Opinion of Financial Advisor,Capitalization-Other, Authority, Approval, Enforceability, Organization, Subsidiaries, No MAE, Brokers' Fee, Takeover Statutes, Rights Agreement, Opinion of Financial Advisor, Other,Capitalization-Other, Authority, Approval, Enforceability, Subsidiaries, No MAE, Takeover Statutes, Opinion of Financial Advisor, Other,Capitalization-Other, Authority, Approval, Organization, Brokers' Fee, Takeover Statutes, Rights Agreement, Opinion of Financial Advisor,General R&Ws,General R&Ws, Capitalization R&Ws,General R&Ws, Capitalization R&Ws, Fundermental/Special R&Ws,General R&Ws, Capitalization R&Ws, Specified R&Ws only,General R&Ws, Capitalization R&Ws, fundamental/Special R&Ws,General R&Ws, Fundermental/Special R&Ws,General R&Ws, Specified R&Ws only,General R&Ws, fundamental/Special R&Ws,fundamental/Special R&Ws",100.0
Agreement provides for matching rights in connection with COR,139,Deal Protection and Related Provisions,"2 business days or less,3 business days,4 business days,5 business days,Continuous matching right,None",91.44736842105263
Agreement provides for matching rights in connection with FTR,123,Deal Protection and Related Provisions,"2 business days or less,3 business days,4 business days,5 business days,Continuous matching right,Greater than 5 business days,None",80.92105263157895
Breach of Meeting Covenant,12,Deal Protection and Related Provisions,Yes,7.894736842105263
Breach of No Shop,37,Deal Protection and Related Provisions,Yes,24.342105263157894
Compliance with Covenant Closing Condition,98,Conditions to Closing,"All Covenants,Each Covenant",64.47368421052632
FTR Triggers,83,Deal Protection and Related Provisions,Superior Offer,54.60526315789474
Fiduciary exception to COR covenant,149,Deal Protection and Related Provisions,"""Inconsistent"" with fiduciary duties,""Reasonably likely/expected breach"" of fiduciary duties,""Reasonably likely/expected to be inconsistent"" with fiduciary duties,""Reasonably likely/expected violation"" of fiduciary duties,""Violation"" of fiduciary duties,More likely than not violate fiduciary duties,No,None,Other specified standard,Yes",98.02631578947368
Fiduciary exception:  Board determination (no-shop),131,Deal Protection and Related Provisions,"""Inconsistent"" with fiduciary duties,""Reasonably likely/expected breach"" of fiduciary duties,""Reasonably likely/expected to be inconsistent"" with fiduciary duties,Acquisition Proposal only,None,Other specified standard,Superior Offer, or Acquisition Proposal reasonably likely/expected to result in a Superior Offer",86.1842105263158
