id,subdir,filename,expected_doc_class,expected_stage,size_tier,source,license,notes,dataset,expected_fields
contract_01,contract,contract_01_affiliate_agreement.pdf,contract,archived,small,CUAD full_contract_pdf/Part_I/Affiliate_Agreements (CreditcardscomInc S-1 EX-10.33),CC-BY-4.0,Real SEC-exhibit affiliate agreement; 12 pages; text-based,original,"{""parties"":[""Chase Bank USA, N.A."",""Affiliate""],""effective_date"":null,""term_length"":""commences on the date that the Affiliate Registration Form is approved by Chase and will end when terminated by either party"",""governing_law"":""Delaware"",""contract_value"":""Tiered or flat commission based on private offer terms in the network; lowest tier of the public offer is $55.00"",""renewal_terms"":null,""cuad_clauses"":[""Either Affiliate or Chase may terminate this Agreement at any time, with or without cause, by giving the other party written or e-mail notice of termination"",""At the time of termination, any links to Chase's Website must be removed immediately"",""Affiliate will continue to receive Commission payments for all Approved Accounts placed during the term of this Agreement"",""Chase may terminate this Agreement if Affiliate does not comply with the terms and conditions herein"",""Chase also reserves the right to terminate this Agreement in the event that any Restricted Content is incorporated on Affiliate's site after acceptance"",""IF ANY MODIFICATION IS UNACCEPTABLE TO AFFILIATE, THE ONLY RECOURSE IS TO TERMINATE THIS AGREEMENT"",""Chase will pay Affiliate a fee for each approved credit card account that originates from a link in Affiliate's Website"",""Affiliate cannot use or implement creative that is not available through the LinkShare affiliate interface"",""Affiliates may not harvest or collect personal information, or email addresses using the Chase brand without the written consent of Chase"",""Affiliate agrees to place Chase's links provided by Linkshare NetworkTM which manages the Affiliate Program ('Links') on its Affiliate's website"",""Affiliate will only use credit card descriptions provided or approved in writing by Chase"",""Affiliate is solely responsible for ensuring that its reviews and articles obey all applicable copyright and other laws"",""Affiliate may not specify details regarding the Chase credit card on their Websites without the prior approval of Chase"",""Affiliate agrees not to use the Licensed Materials in any manner that is disparaging or that otherwise portrays Chase in a negative light""],""maud_clauses"":[]}"
contract_02,contract,contract_02_consulting_agreement.pdf,contract,archived,medium,CUAD full_contract_pdf/Part_II-A/Consulting Agreements (Global Technologies Ltd EX-10.16),CC-BY-4.0,Real consulting agreement; 7 pages,original,"{""parties"":[""Global Technologies, Ltd"",""Timothy Cabrera""],""effective_date"":""2020-01-02"",""term_length"":""one (1) year or until Consultant completes the services requested"",""governing_law"":""Florida"",""contract_value"":""$250,000"",""renewal_terms"":null,""cuad_clauses"":[""Either Party shall have the right to terminate this Agreement without notice in the event of the bankruptcy, insolvency, or assignment for the benefit of creditors of the other Party"",""Either Party shall have the right to terminate this Agreement with notice, and the effective date of termination shall be the date such notice is received (by mail, overnight delivery, or fax) by the terminated Party"",""if the Company [is not] truthful with Consultant in regard to any relevant material regarding the Company ... this entire Agreement will terminate and all consideration paid shall be forfeited without further notice"",""The Company shall pay Consultant $250,000 cash compensation"",""Seek and advise the Company on the acquisition of potential products for the Company's subsidiaries"",""Assist in negotiating acquisition or merger consideration as required by the Company"",""Assist in the sale of any inventory held by any of the Company's subsidiaries"",""Assist in the sale of any future products acquired, licensed or developed by the Company and or its subsidiaries"",""Consultant shall devote such time and efforts to the affairs of the Company as is reasonably necessary to render the services contemplated by this Agreement"",""Consultant will in no way act as a 'broker-dealer' under state securities laws"",""Comply with all federal and state laws"",""The Consultant will be solely responsible for all tax returns and payments required to be filed with or made to any federal, state or local tax authority""],""maud_clauses"":[]}"
contract_03,contract,contract_03_service_agreement.pdf,contract,archived,large,CUAD full_contract_pdf/Part_I/Service (ReynoldsConsumerProducts S-1A EX-10.22),CC-BY-4.0,Real transition services agreement; 52 pages; large-token efficiency case,original,"{""parties"":[""Reynolds Group Holdings Inc."",""Reynolds Consumer Products Inc.""],""effective_date"":""2020-02-04"",""term_length"":""12 months following the Commencement Date unless a different date is specified on Exhibit A or Exhibit B"",""governing_law"":""Illinois"",""contract_value"":""No aggregate amount; per-service fees set forth on Exhibit A/Exhibit B (e.g. $220,775 per month Base Infrastructure, $100,275 per month Tax Services, $97,353 per month LAN & WAN Management, $175 per person per hour Audit Services)"",""renewal_terms"":null,""cuad_clauses"":[""Company may terminate for convenience any Transition Service, and RGHI may terminate for convenience any Reverse Transition Service, upon 30 days' prior written notice"",""This Agreement shall terminate when the Termination Date has occurred for all Services"",""this Agreement may be terminated by either Party ... upon written notice ... if the other Party or its Affiliates materially breaches this Agreement and such breach is not cured, to the reasonable satisfaction of the Terminating Party, within thirty (30) days of written notice thereof"",""if the other Party files for bankruptcy or similar proceeding ... becomes or is declared insolvent, becomes the subject of any proceedings ... related to its liquidation, insolvency, bankruptcy or the appointment of a trustee or a receiver ... or a court approves reorganization proceedings on such Party"",""RGHI shall provide, or shall cause its Affiliates or ... third parties to provide, to the Company ... the services described on Exhibit A hereto (the 'Transition Services')"",""Company shall provide, or shall cause its Affiliates ... to provide, to RGHI ... the services described on Exhibit B hereto (the 'Reverse Transition Services')"",""RGHI shall ... undertake the segregation and extraction required to separate the IT systems, data, records and processes of the Company ... and migrate them to RCP's ... IT environment or infrastructure (the 'Migration Services')"",""The costs of such Migration Services shall be paid by RCP"",""Recipient shall pay Provider (i) the fee for each Service set forth on Exhibit A or Exhibit B, (ii) Providers' and their Affiliates' reasonable and documented out-of-pocket expenses ... and (iii) any other fees as agreed to by the Parties in writing (collectively, the 'Fees')"",""Recipient shall pay, or cause to be paid, the Fees shown on an invoice no later than the last business day of the month Recipient received such invoice"",""Provider shall (x) be responsible for the performance or non-performance of any such parties and (y) in all cases remain responsible for ensuring that obligations with respect to the standards of Services set forth in Article III of this Agreement are satisfied""],""maud_clauses"":[]}"
compliance_01,compliance_filing,compliance_01_10k_excerpt.pdf,compliance_filing,archived,large,compliance/10k_excerpt.txt,original (styled after a 10-K),Synthetic 10-K excerpt incl. risk factors + financial statements; exceeds classify truncation,original,"{""filing_type"":""10-K"",""regulatory_body"":""SEC"",""filing_date"":""2025-02-27"",""due_date"":null,""entity_name"":""Northwind Logistics Corporation"",""key_requirements"":[""Item 1. Business"",""Item 1A. Risk Factors"",""Item 7. Management's Discussion and Analysis of Financial Condition and Results of Operations"",""Item 8. Financial Statements and Supplementary Data"",""Item 9A. Controls and Procedures"",""Item 15. Exhibits, Financial Statement Schedules"",""Consolidated financial statements""],""status"":null,""reference_number"":""001-39420""}"
compliance_02,compliance_filing,compliance_02_state_filing.pdf,compliance_filing,archived,small,compliance/state_filing.txt,original,State annual report filing,original,"{""filing_type"":""Annual Report"",""regulatory_body"":""Delaware Secretary of State"",""filing_date"":""2025-03-31"",""due_date"":null,""entity_name"":""HarborPoint Holdings, Inc."",""key_requirements"":[""State of incorporation: Delaware"",""Date of incorporation: June 12, 2018"",""Fiscal year end: December 31"",""Type of entity: Corporation"",""Principal office address: 800 Bridgeway Street, Suite 210, Wilmington, DE 19801"",""The entity is in good standing under the laws of the State of Delaware and has not been dissolved or merged""],""status"":""in good standing"",""reference_number"":""5012345""}"
corporate_01,corporate_record,corporate_01_bylaws.pdf,corporate_record,archived,medium,corporate/bylaws.txt,original,Amended and restated bylaws,original,"{""entity_name"": ""HarborPoint Holdings, Inc."", ""record_type"": ""Amended and Restated Bylaws"", ""effective_date"": ""2024-03-01"", ""signatories"": null, ""jurisdiction"": ""Delaware"", ""filing_number"": null, ""subject_matter"": ""Amended and restated bylaws of HarborPoint Holdings Inc. establishing governance rules for stockholder meetings, the board of directors, officers, indemnification, and the fiscal year."", ""keywords"": [""bylaws"", ""stockholder meetings"", ""board of directors"", ""quorum"", ""officers"", ""indemnification"", ""fiscal year"", ""amendments""], ""intent"": ""governance_rules""}"
corporate_02,corporate_record,corporate_02_resolution.pdf,corporate_record,archived,small,corporate/resolution.txt,original,Unanimous written consent / board resolutions,original,"{""entity_name"": ""HarborPoint Holdings, Inc."", ""record_type"": ""Unanimous Written Consent of the Board of Directors"", ""effective_date"": ""2025-01-10"", ""signatories"": [""Amelia Rodriguez"", ""Thomas Okafor"", ""Priya Nair""], ""jurisdiction"": ""Delaware"", ""filing_number"": null, ""subject_matter"": ""Unanimous written consent of the HarborPoint board approving a Master Services Agreement with Northwind Logistics Corporation, $1,500,000 in capital expenditures, an Audit Committee, and a 50,000-unit RSU grant."", ""keywords"": [""unanimous written consent"", ""board resolutions"", ""Master Services Agreement"", ""capital expenditures"", ""Audit Committee"", ""restricted stock units""], ""intent"": ""corporate_action_approval""}"
correspondence_01,correspondence,correspondence_01_demand_letter.pdf,correspondence,archived,small,correspondence/demand_letter.txt,original,Notice of breach and demand for payment,original,"{""sender"": ""Dana Alvarez, Senior Associate, Ridgeline & Partners LLP (representing Northwind Logistics Corporation)"", ""recipient"": ""HarborPoint Holdings, Inc. (Attn: General Counsel)"", ""additional_recipients"": [], ""communication_type"": ""demand letter"", ""communication_date"": ""2025-01-18"", ""demand_amount"": 218440.0, ""action_items"": [""Pay the full outstanding balance of $218,440.00 within ten (10) days of the date of the letter."", ""Direct all payments and communications regarding this matter to the undersigned.""], ""urgency"": ""urgent"", ""subject_matter"": ""Demand letter from Northwind Logistics Corporation counsel requiring HarborPoint Holdings Inc. to pay $218,440.00 of unpaid invoices within ten days or face termination and legal proceedings."", ""keywords"": [""demand letter"", ""notice of breach"", ""unpaid invoices"", ""Master Services Agreement"", ""payment deadline"", ""termination"", ""legal proceedings"", ""attorneys fees""], ""intent"": ""payment_demand""}"
correspondence_02,correspondence,correspondence_02_internal_memo.pdf,correspondence,archived,small,correspondence/internal_memo.txt,original,Internal legal memo re remedies analysis,original,"{""sender"": ""Dana Alvarez, Senior Associate"", ""recipient"": ""Amelia Rodriguez, General Counsel"", ""additional_recipients"": [], ""communication_type"": ""internal memo"", ""communication_date"": ""2025-02-03"", ""demand_amount"": null, ""action_items"": [""Allow the cure period to expire without further forbearance"", ""Deliver a termination notice under Section 9.5"", ""Initiate the dispute-resolution process under Article 11 (initial mediation before arbitration)"", ""Assemble the performance data and delivery records needed to substantiate the service-level shortfall in mediation""], ""urgency"": """", ""subject_matter"": ""Internal legal memo analyzing HarborPoint Holdings Inc. remedies under the Master Services Agreement should Northwind fail to cure its service-level deficiencies."", ""keywords"": [""internal memo"", ""remedies analysis"", ""service-level commitment"", ""cure period"", ""termination"", ""liquidated damages"", ""mediation""], ""intent"": ""analysis""}"
ambiguous_01,ambiguous,ambiguous_01_mixed_memo.pdf,correspondence,review,small,ambiguous/mixed_memo.txt,original,Multi-topic memo; expects low confidence -> retry -> human review,original,"{""sender"": ""Corporate Development"", ""recipient"": ""Management Committee"", ""additional_recipients"": [], ""communication_type"": ""internal memo"", ""communication_date"": ""2025-04-07"", ""demand_amount"": null, ""action_items"": [""Advise whether management intends to (a) execute the proposed amendment, (b) exercise the termination rights described in the demand letter, or (c) negotiate a further extension"", ""A response is requested by April 14, 2025""], ""urgency"": ""Response requested by April 14, 2025"", ""subject_matter"": ""Multi-topic internal memo requesting the management committee to decide between executing a proposed contract amendment, exercising termination rights, or negotiating a further extension."", ""keywords"": [""internal memo"", ""management decision"", ""amendment proposal"", ""termination rights"", ""service-level performance"", ""capital expenditures"", ""annual report"", ""Form 10-K""], ""intent"": ""request""}"
